[, 6 , 73 , 0 , 144 , 0 ,]
[, 6 , 79 , 0 , 10 , 0 ,]
[, 6 , 121 , 0 , 23 , 0 ,]
[, 6 , 41 , 0 , 10 , 0 ,]
[, 6 , 19 , 0 , 104 , 0 ,]
[, 6 , 35 , 0 , 52 , 0 ,]
[, 6 , 75 , 0 , 21 , 0 ,]
[, 6 , 83 , 0 , 174 , 0 ,]
[, 6 , 127 , 0 , 259 , 0 ,]
[, 6 , 117 , 0 , 227 , 0 ,]
[, 6 , 17 , 0 , 69 , 0 ,]
[, 6 , 53 , 0 , 89 , 0 ,]
[, 6 , 95 , 0 , 639 , 0 ,]
[, 6 , 9 , 0 , 284 , 0 ,]
[, 6 , 97 , 0 , 161 , 0 ,]
[, 6 , 105 , 0 , 325 , 0 ,]
[, 6 , 49 , 0 , 14 , 0 ,]
[, 6 , 111 , 0 , 146 , 0 ,]
[, 6 , 85 , 0 , 78 , 0 ,]
[, 6 , 99 , 0 , 702 , 0 ,]
[, 6 , 51 , 0 , 20 , 0 ,]
[, 6 , 11 , 0 , 937 , 0 ,]
[, 6 , 86 , 0 , 1327 , 0 ,]
[, 6 , 87 , 0 , 42 , 0 ,]
[, 7 , 129 , 0 , 16 , 0 ,]
[, 7 , 47 , 0 , 8 , 0 ,]
[, 7 , 29 , 0 , 9 , 0 ,]
[, 7 , 65 , 0 , 7 , 0 ,]
[, 7 , 59 , 0 , 11 , 0 ,]
[, 7 , 15 , 0 , 88 , 0 ,]
[, 7 , 3 , 0 , 14 , 0 ,]
[, 7 , 61 , 0 , 74 , 0 ,]
[, 7 , 81 , 0 , 177 , 0 ,]
[, 7 , 103 , 0 , 471 , 0 ,]
[, 7 , 71 , 0 , 349 , 0 ,]
[, 7 , 101 , 0 , 248 , 0 ,]
[, 7 , 133 , 0 , 13 , 0 ,]
[, 7 , 13 , 0 , 7 , 0 ,]
[, 7 , 89 , 0 , 40 , 0 ,]
[, 7 , 33 , 0 , 159 , 0 ,]
[, 7 , 107 , 0 , 36 , 0 ,]
[, 7 , 115 , 0 , 201 , 0 ,]
[, 7 , 93 , 0 , 19 , 0 ,]
[, 7 , 55 , 0 , 52 , 0 ,]
[, 7 , 21 , 0 , 178 , 0 ,]
[, 7 , 69 , 0 , 165 , 0 ,]
[, 7 , 43 , 0 , 7 , 0 ,]
